,entry_title,hash_id,link,published,updated,guid,original_string,movie_title,release_year,resolution,upload_format,audio_format,encoding,uploader
0,Bender: Gold of the Empire (2021) [720p] [BluRay] [YTS.MX],814D617A2DB54AD68978FBDD68B891FA84E9ACB5,https://yts.mx/movies/bender-gold-of-the-empire-2021,"Wed, 16 Oct 2024 21:08:08 +0200","Wed, 16 Oct 2024 21:08:08 +0200",https://yts.mx/movies/bender-gold-of-the-empire-2021#720p,Bender: Gold of the Empire (2021) [720p] [BluRay] [YTS.MX],Bender: Gold of the Empire,2021,720p,BluRay,,,YTS.MX
1,Bender: Gold of the Empire (2021) [1080p] [BluRay] [5.1] [YTS.MX],076D6BB6A716F5E736330A9791F024DF34A9D3F1,https://yts.mx/movies/bender-gold-of-the-empire-2021,"Wed, 16 Oct 2024 22:01:36 +0200","Wed, 16 Oct 2024 22:01:36 +0200",https://yts.mx/movies/bender-gold-of-the-empire-2021#1080p,Bender: Gold of the Empire (2021) [1080p] [BluRay] [5.1] [YTS.MX],Bender: Gold of the Empire,2021,1080p,BluRay,5.1,,YTS.MX
2,Bad Genius (2024) [720p] [WEBRip] [YTS.MX],9599A15B4729A5BDEE5C01B9DD886710A9A4FA80,https://yts.mx/movies/bad-genius-2024,"Tue, 15 Oct 2024 07:39:07 +0200","Tue, 15 Oct 2024 07:39:07 +0200",https://yts.mx/movies/bad-genius-2024#720p,Bad Genius (2024) [720p] [WEBRip] [YTS.MX],Bad Genius,2024,720p,WEBRip,,,YTS.MX
3,Bad Genius (2024) [1080p] [WEBRip] [5.1] [YTS.MX],3DFAB651DDA1F756B0243299267B3347F36966EB,https://yts.mx/movies/bad-genius-2024,"Tue, 15 Oct 2024 08:35:42 +0200","Tue, 15 Oct 2024 08:35:42 +0200",https://yts.mx/movies/bad-genius-2024#1080p,Bad Genius (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Bad Genius,2024,1080p,WEBRip,5.1,,YTS.MX
4,Bad Genius (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],672CF82C8EA32F260CB3A008DCE3F5AA6924A97A,https://yts.mx/movies/bad-genius-2024,"Wed, 16 Oct 2024 20:45:50 +0200","Wed, 16 Oct 2024 20:45:50 +0200",https://yts.mx/movies/bad-genius-2024#1080p,Bad Genius (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Bad Genius,2024,1080p,WEBRip,10bit,x265,YTS.MX
5,The Silent Hour (2024) [720p] [WEBRip] [YTS.MX],995A0DEFAECB4E02FFE166612421CCF70BED61AE,https://yts.mx/movies/the-silent-hour-2024,"Fri, 11 Oct 2024 06:25:27 +0200","Fri, 11 Oct 2024 06:25:27 +0200",https://yts.mx/movies/the-silent-hour-2024#720p,The Silent Hour (2024) [720p] [WEBRip] [YTS.MX],The Silent Hour,2024,720p,WEBRip,,,YTS.MX
6,The Silent Hour (2024) [1080p] [WEBRip] [5.1] [YTS.MX],F618D7CCCF7DE7335F17689E517753BF020AFE05,https://yts.mx/movies/the-silent-hour-2024,"Fri, 11 Oct 2024 07:26:27 +0200","Fri, 11 Oct 2024 07:26:27 +0200",https://yts.mx/movies/the-silent-hour-2024#1080p,The Silent Hour (2024) [1080p] [WEBRip] [5.1] [YTS.MX],The Silent Hour,2024,1080p,WEBRip,5.1,,YTS.MX
7,The Silent Hour (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],95AFE99EA7673AAF296A5ADF45F208FA5E45B21E,https://yts.mx/movies/the-silent-hour-2024,"Tue, 15 Oct 2024 00:15:45 +0200","Tue, 15 Oct 2024 00:15:45 +0200",https://yts.mx/movies/the-silent-hour-2024#1080p,The Silent Hour (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],The Silent Hour,2024,1080p,WEBRip,10bit,x265,YTS.MX
8,The Silent Hour (2024) [2160p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],52523A6F8CD465C1FB9A88203D9C84C463E4BA27,https://yts.mx/movies/the-silent-hour-2024,"Wed, 16 Oct 2024 20:40:08 +0200","Wed, 16 Oct 2024 20:40:08 +0200",https://yts.mx/movies/the-silent-hour-2024#2160p,The Silent Hour (2024) [2160p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],The Silent Hour,2024,2160p,WEBRip,10bit,x265,YTS.MX
9,The Echo (2023) [720p] [WEBRip] [YTS.MX],FC90197BB8E74CC9A75455B2E31B593ED2DE8179,https://yts.mx/movies/the-echo-2023,"Wed, 16 Oct 2024 15:08:46 +0200","Wed, 16 Oct 2024 15:08:46 +0200",https://yts.mx/movies/the-echo-2023#720p,The Echo (2023) [720p] [WEBRip] [YTS.MX],The Echo,2023,720p,WEBRip,,,YTS.MX
10,The Echo (2023) [1080p] [WEBRip] [5.1] [YTS.MX],C4DFF055253C1CE656B37CC76865400189D87F2A,https://yts.mx/movies/the-echo-2023,"Wed, 16 Oct 2024 16:18:25 +0200","Wed, 16 Oct 2024 16:18:25 +0200",https://yts.mx/movies/the-echo-2023#1080p,The Echo (2023) [1080p] [WEBRip] [5.1] [YTS.MX],The Echo,2023,1080p,WEBRip,5.1,,YTS.MX
11,Zahradníkuv rok (2024) [720p] [WEBRip] [YTS.MX],0043C0677EE36CFB5BE5B9B76799F1E9378D999E,https://yts.mx/movies/zahradnikuv-rok-2024,"Wed, 16 Oct 2024 15:09:04 +0200","Wed, 16 Oct 2024 15:09:04 +0200",https://yts.mx/movies/zahradnikuv-rok-2024#720p,Zahradníkuv rok (2024) [720p] [WEBRip] [YTS.MX],Zahradníkuv rok,2024,720p,WEBRip,,,YTS.MX
12,Zahradníkuv rok (2024) [1080p] [WEBRip] [5.1] [YTS.MX],6E2F1E459583177C668EB1758290749801F0CC46,https://yts.mx/movies/zahradnikuv-rok-2024,"Wed, 16 Oct 2024 16:17:37 +0200","Wed, 16 Oct 2024 16:17:37 +0200",https://yts.mx/movies/zahradnikuv-rok-2024#1080p,Zahradníkuv rok (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Zahradníkuv rok,2024,1080p,WEBRip,5.1,,YTS.MX
