hash,tv_show_name,season,episode,status,magnet_link,published_timestamp,summary,release_year,genre,language,metascore,imdb_rating,imdbVotes,imdb_id,resolution,video_codec,upload_type,audio_codec,raw_title,file_name,feed_id,tv_show_id,tv_episode_id,tv_external_id,imdb_votes
52612e49d776f211b2a7ed03dae2050414ffabed,Saturday Night Live,50,1,complete,magnet:?xt=urn:btih:52612E49D776F211B2A7ED03DAE2050414FFABED&dn=Saturday+Night+Live+S50E01+Jean+Smart+1080p+WEB+h264+EDITH&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Sun, 29 Sep 2024 11:20:08 +0000",New episode: Saturday Night Live S50E01 Jean Smart 1080p WEB h264 EDITH,1975.0,"Comedy, Music",English,,8.1,,tt0072562,1080p,H264,WEB,,Saturday Night Live S50E01 Jean Smart 1080p WEB h264 EDITH,Saturday.Night.Live.S50E01.Jean.Smart.1080p.WEB.h264-EDITH[TGx],07de2c8a746afa7ed55be803742067590927d6cb,145,204430,361,100000.0
002a94a1962f0273aea75bed9bf3f71cf1b80cb2,Bad Monkey,1,8,ingested,magnet:?xt=urn:btih:002A94A1962F0273AEA75BED9BF3F71CF1B80CB2&dn=Bad+Monkey+S01E08+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 25 Sep 2024 02:20:07 +0000",New episode: Bad Monkey S01E08 1080p WEB H264 SuccessfulCrab,,,,,,,,1080p,H264,WEB,,Bad Monkey S01E08 1080p WEB H264 SuccessfulCrab,,a5a894035059b0c64698b37d1ce7095df83bc557,1799,204320,56778,
0c33e4800d3a4cc4c034fa012f7ac39eb1ebfe7c,Bad Monkey,1,6,ingested,magnet:?xt=urn:btih:0C33E4800D3A4CC4C034FA012F7AC39EB1EBFE7C&dn=Bad+Monkey+S01E06+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 11 Sep 2024 02:20:06 +0000",New episode: Bad Monkey S01E06 1080p WEB H264 SuccessfulCrab,,,,,,,,1080p,H264,WEB,,Bad Monkey S01E06 1080p WEB H264 SuccessfulCrab,,901351c668fa7ba03a93b5dae52465cd684b42cf,1799,203971,56778,
11afae21b0cdfbff29adf5b3ed5c6465e8f88796,The Penguin,1,4,ingested,magnet:?xt=urn:btih:11AFAE21B0CDFBFF29ADF5B3ED5C6465E8F88796&dn=The+Penguin+S01E04+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 14 Oct 2024 02:20:09 +0000",New episode: The Penguin S01E04 1080p WEB H264 SuccessfulCrab,,,,,,,,1080p,H264,WEB,,The Penguin S01E04 1080p WEB H264 SuccessfulCrab,,12e0a2eeedaf7cf3faaa450403de13b35099da00,1808,204800,60920,
2f23aee13f44d12a17b544abf4c593e932e7ec93,Bad Monkey,1,4,ingested,magnet:?xt=urn:btih:2F23AEE13F44D12A17B544ABF4C593E932E7EC93&dn=Bad+Monkey+S01E04+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Fri, 30 Aug 2024 10:55:04 +0000",New episode: Bad Monkey S01E04 1080p WEB H264 SuccessfulCrab,,,,,,,,1080p,H264,WEB,,Bad Monkey S01E04 1080p WEB H264 SuccessfulCrab,,9033216f90b3949d973b09a5b650033a45d604b8,1799,203845,56778,
380d59aca7b172f1aa28d1cfdd91c20c6b7aab8c,Last Week Tonight With John Oliver,11,22,ingested,magnet:?xt=urn:btih:380D59ACA7B172F1AA28D1CFDD91C20C6B7AAB8C&dn=Last+Week+Tonight+with+John+Oliver+S11E22+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 09 Sep 2024 04:25:04 +0000",New episode: Last Week Tonight with John Oliver S11E22 1080p WEB H264 Success,,,,,,,,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E22 1080p WEB H264 Success,,6932b67d4d44bb3e4a9d1d76838d375cc94e3610,45,203947,263,
3afbfd232ea26c2990ccadbe11cccd006a4e9aeb,Sesame Street,54,13,ingested,magnet:?xt=urn:btih:3AFBFD232EA26C2990CCADBE11CCCD006A4E9AEB&dn=Sesame+Street+S54E13+A+Home+for+Fido+1080p+AMZN+WEB+DL+DDP5+1+H+264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Fri, 11 Oct 2024 13:20:08 +0000",New episode: Sesame Street S54E13 A Home for Fido 1080p AMZN WEB DL DDP5 1 H 264 LAZY,,,,,,,,1080p,H 264,AMZN,,Sesame Street S54E13 A Home for Fido 1080p AMZN WEB DL DDP5 1 H 264 LAZY,,0cdfd9cc9e947fe3afff13eda5b58a4b36172f34,605,204752,6544,
3e325d647c52665bdedc39be101d0113e8e578be,Last Week Tonight With John Oliver,11,21,ingested,magnet:?xt=urn:btih:3E325D647C52665BDEDC39BE101D0113E8E578BE&dn=Last+Week+Tonight+with+John+Oliver+S11E21+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 19 Aug 2024 04:30:07 +0000",New episode: Last Week Tonight with John Oliver S11E21 1080p WEB H264 Success,,,,,,,,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E21 1080p WEB H264 Success,,2f9228480872804067b0b237a761694315aae2bc,45,203609,263,
47f4603147a23bfaeb80dbd85692878dc788eceb,The Penguin,1,3,ingested,magnet:?xt=urn:btih:47F4603147A23BFAEB80DBD85692878DC788ECEB&dn=The+Penguin+S01E03+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 07 Oct 2024 09:35:05 +0000",New episode: The Penguin S01E03 1080p WEB H264 SuccessfulCrab,,,,,,,,1080p,H264,WEB,,The Penguin S01E03 1080p WEB H264 SuccessfulCrab,,8f85d0b2b00ab80d120f8c50b5a4d85fb5b8d252,1808,204608,60920,
49803e4b13b0ca7f929927b7d96b6dd74991e77c,Last Week Tonight With John Oliver,11,23,ingested,magnet:?xt=urn:btih:49803E4B13B0CA7F929927B7D96B6DD74991E77C&dn=Last+Week+Tonight+with+John+Oliver+S11E23+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 23 Sep 2024 04:20:06 +0000",New episode: Last Week Tonight with John Oliver S11E23 1080p WEB H264 Success,,,,,,,,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E23 1080p WEB H264 Success,,c478666fc629354c44bbf928a7ba7d8a44661494,45,204223,263,
