,title,link,id,published,summary,tv_show_id,tv_external_id,tv_show_name,tv_episode_id,tv_raw_title,tv_info_hash
0,Saturday Night Live S50E01 Jean Smart 1080p WEB h264 EDITH,magnet:?xt=urn:btih:52612E49D776F211B2A7ED03DAE2050414FFABED&dn=Saturday+Night+Live+S50E01+Jean+Smart+1080p+WEB+h264+EDITH&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,07de2c8a746afa7ed55be803742067590927d6cb,"Sun, 29 Sep 2024 11:20:08 +0000",New episode: Saturday Night Live S50E01 Jean Smart 1080p WEB h264 EDITH,145,361,Saturday Night Live,204430,Saturday Night Live S50E01 Jean Smart 1080p WEB h264 EDITH,52612E49D776F211B2A7ED03DAE2050414FFABED
1,Bad Monkey S01E08 1080p WEB H264 SuccessfulCrab,magnet:?xt=urn:btih:002A94A1962F0273AEA75BED9BF3F71CF1B80CB2&dn=Bad+Monkey+S01E08+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,a5a894035059b0c64698b37d1ce7095df83bc557,"Wed, 25 Sep 2024 02:20:07 +0000",New episode: Bad Monkey S01E08 1080p WEB H264 SuccessfulCrab,1799,56778,Bad Monkey,204320,Bad Monkey S01E08 1080p WEB H264 SuccessfulCrab,002A94A1962F0273AEA75BED9BF3F71CF1B80CB2
2,Last Week Tonight with John Oliver S11E23 1080p WEB H264 Success,magnet:?xt=urn:btih:49803E4B13B0CA7F929927B7D96B6DD74991E77C&dn=Last+Week+Tonight+with+John+Oliver+S11E23+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,c478666fc629354c44bbf928a7ba7d8a44661494,"Mon, 23 Sep 2024 04:20:06 +0000",New episode: Last Week Tonight with John Oliver S11E23 1080p WEB H264 Success,45,263,Last Week Tonight With John Oliver,204223,Last Week Tonight with John Oliver S11E23 1080p WEB H264 Success,49803E4B13B0CA7F929927B7D96B6DD74991E77C
3,Bad Monkey S01E07 1080p WEB H264 SuccessfulCrab,magnet:?xt=urn:btih:C43A88269F21A252814653F920B66E284EC85EFB&dn=Bad+Monkey+S01E07+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,02c0ff4e434e859de1810464a066d858b73ecb49,"Wed, 18 Sep 2024 02:20:06 +0000",New episode: Bad Monkey S01E07 1080p WEB H264 SuccessfulCrab,1799,56778,Bad Monkey,204096,Bad Monkey S01E07 1080p WEB H264 SuccessfulCrab,C43A88269F21A252814653F920B66E284EC85EFB
4,Bad Monkey S01E06 1080p WEB H264 SuccessfulCrab,magnet:?xt=urn:btih:0C33E4800D3A4CC4C034FA012F7AC39EB1EBFE7C&dn=Bad+Monkey+S01E06+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,901351c668fa7ba03a93b5dae52465cd684b42cf,"Wed, 11 Sep 2024 02:20:06 +0000",New episode: Bad Monkey S01E06 1080p WEB H264 SuccessfulCrab,1799,56778,Bad Monkey,203971,Bad Monkey S01E06 1080p WEB H264 SuccessfulCrab,0C33E4800D3A4CC4C034FA012F7AC39EB1EBFE7C
5,Last Week Tonight with John Oliver S11E22 1080p WEB H264 Success,magnet:?xt=urn:btih:380D59ACA7B172F1AA28D1CFDD91C20C6B7AAB8C&dn=Last+Week+Tonight+with+John+Oliver+S11E22+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,6932b67d4d44bb3e4a9d1d76838d375cc94e3610,"Mon, 09 Sep 2024 04:25:04 +0000",New episode: Last Week Tonight with John Oliver S11E22 1080p WEB H264 Success,45,263,Last Week Tonight With John Oliver,203947,Last Week Tonight with John Oliver S11E22 1080p WEB H264 Success,380D59ACA7B172F1AA28D1CFDD91C20C6B7AAB8C
6,Bad Monkey S01E04 1080p WEB H264 SuccessfulCrab,magnet:?xt=urn:btih:2F23AEE13F44D12A17B544ABF4C593E932E7EC93&dn=Bad+Monkey+S01E04+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,9033216f90b3949d973b09a5b650033a45d604b8,"Fri, 30 Aug 2024 10:55:04 +0000",New episode: Bad Monkey S01E04 1080p WEB H264 SuccessfulCrab,1799,56778,Bad Monkey,203845,Bad Monkey S01E04 1080p WEB H264 SuccessfulCrab,2F23AEE13F44D12A17B544ABF4C593E932E7EC93
7,Bad Monkey S01E03 1080p WEB H264 SuccessfulCrab,magnet:?xt=urn:btih:BBE1A3F9B60C3C9C8A03F2E1FE8E1DB4DE309999&dn=Bad+Monkey+S01E03+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,8dbd7ef1d52037820577ae9356e7209a1430597d,"Fri, 30 Aug 2024 10:55:02 +0000",New episode: Bad Monkey S01E03 1080p WEB H264 SuccessfulCrab,1799,56778,Bad Monkey,203841,Bad Monkey S01E03 1080p WEB H264 SuccessfulCrab,BBE1A3F9B60C3C9C8A03F2E1FE8E1DB4DE309999
8,Sunny S01E09 1080p WEB H264 SuccessfulCrab,magnet:?xt=urn:btih:7315918C1F1B11378F99D69FE06615FD227F6441&dn=Sunny+S01E09+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,28ef04ba82eab344ac945b96c62859a487f594a9,"Wed, 28 Aug 2024 02:40:06 +0000",New episode: Sunny S01E09 1080p WEB H264 SuccessfulCrab,1794,60398,Sunny,203798,Sunny S01E09 1080p WEB H264 SuccessfulCrab,7315918C1F1B11378F99D69FE06615FD227F6441
9,Sunny S01E08 1080p WEB H264 SuccessfulCrab,magnet:?xt=urn:btih:443BFAE080088453850FA5B8AB0D712DBA113005&dn=Sunny+S01E08+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,fecd7a0fcd9e1a3fb3e4fc8514422794f5cf7185,"Wed, 21 Aug 2024 02:20:06 +0000",New episode: Sunny S01E08 1080p WEB H264 SuccessfulCrab,1794,60398,Sunny,203631,Sunny S01E08 1080p WEB H264 SuccessfulCrab,443BFAE080088453850FA5B8AB0D712DBA113005
